(1, 1)
(1, 2)
(1, 3)
(1, 4)
(1, 254)
(2, 2)
(2, 3)
(2, 4)
(2, 254)
(3, 1)
(3, 2)
(3, 3)
(3, 4)
(3, 254)
(4, 1)
(4, 254)
(5, 1)
(5, 2)
(5, 3)
(5, 4)
(5, 254)
(6, 1)
(6, 254)
(7, 1)
(7, 2)
(7, 3)
(7, 254)
(8, 254)
(9, 1)
(9, 2)
(9, 254)
(10, 1)
(10, 2)
(10, 3)
(10, 254)
(11, 1)
(11, 254)
(13, 1)
(13, 254)
(14, 1)
(14, 2)
(14, 3)
(14, 254)
(15, 1)
(15, 254)
(16, 1)
(16, 2)
(16, 3)
(16, 254)
(17, 1)
(17, 2)
(17, 4)
(17, 254)
(18, 1)
(18, 2)
(18, 3)
(18, 4)
(18, 254)
(19, 1)
(19, 254)
(22, 1)
(22, 2)
(22, 254)
(23, 1)
(23, 2)
(23, 3)
(23, 254)
(24, 2)
(24, 3)
(24, 254)
(26, 1)
(26, 2)
(26, 3)
(26, 254)
(27, 1)
(27, 2)
(27, 254)
(28, 1)
(28, 2)
(28, 254)
(33, 1)
(33, 2)
(33, 254)
(34, 1)
(34, 254)
(35, 254)
(36, 254)
(37, 254)
(38, 1)
(38, 2)
(38, 3)
(38, 254)
(39, 254)
(40, 2)
(40, 3)
(40, 4)
(40, 5)
(40, 254)
(47, 254)
