(1, 1)
(1, 254)
(2, 1)
(2, 2)
(2, 254)
(3, 1)
(3, 2)
(3, 254)
(4, 1)
(4, 2)
(4, 254)
(5, 1)
(5, 2)
(5, 254)
(6, 1)
(6, 2)
(6, 254)
(7, 1)
(7, 254)
(8, 1)
(8, 2)
(8, 254)
(9, 254)
(10, 1)
(10, 2)
(10, 3)
(10, 254)
(11, 1)
(11, 2)
(11, 3)
(11, 254)
(12, 1)
(12, 2)
(12, 254)
(13, 1)
(13, 2)
(13, 254)
(14, 1)
(14, 254)
(15, 1)
(15, 2)
(15, 3)
(15, 254)
(16, 1)
(16, 2)
(16, 3)
(16, 4)
(16, 254)
(17, 254)
(18, 1)
(18, 254)
(19, 1)
(19, 2)
(19, 3)
(19, 254)
(20, 254)
(21, 1)
(21, 2)
(21, 3)
(21, 4)
(21, 254)
(22, 254)
(23, 1)
(23, 2)
(23, 3)
(23, 254)
(24, 254)
(25, 1)
(25, 254)
(26, 1)
(26, 254)
(28, 254)
(29, 1)
(29, 2)
(29, 3)
(29, 4)
(29, 254)
(30, 254)
