source_id,target_id,distance
0,1,57.488619
0,2,152.314491
0,3,229.169815
0,4,284.685843
0,5,366.136310
0,6,439.110509
0,7,528.192268
0,8,617.195102
0,9,657.783390
0,10,98.763811
0,11,95.749076
0,12,197.739871
0,13,239.276188
0,14,304.965074
0,15,408.419734
0,16,447.819159
0,17,532.009615
0,18,586.986201
0,19,685.002795
0,20,158.629670
0,21,199.296546
0,22,252.785212
0,23,277.556360
0,24,358.059774
0,25,438.401386
0,26,502.935523
0,27,572.031046
0,28,642.077589
0,29,706.341250
0,30,238.197555
0,31,279.142758
0,32,310.364307
0,33,342.323493
0,34,418.067167
0,35,453.797006
0,36,544.871453
0,37,615.848951
0,38,681.150807
0,39,747.638062
0,40,336.649032
0,41,337.188258
0,42,375.652094
0,43,390.295726
0,44,436.315779
0,45,500.892032
0,46,570.170749
0,47,633.297655
0,48,727.377082
0,49,757.031133
0,50,389.900851
0,51,438.121453
0,52,420.496129
0,53,457.919193
0,54,504.006691
0,55,558.850877
0,56,606.948385
0,57,684.732193
0,58,727.952488
0,59,818.852317
0,60,487.534504
0,61,472.798389
0,62,510.288607
0,63,530.745410
0,64,585.155867
0,65,650.059491
0,66,667.035919
0,67,751.362996
0,68,776.329012
0,69,860.732214
0,70,534.631482
0,71,563.797383
0,72,577.385153
0,73,601.562944
0,74,664.248592
0,75,707.112399
0,76,716.808742
0,77,792.844204
0,78,851.338849
0,79,898.144786
0,80,640.892517
0,81,649.589745
0,82,631.428703
0,83,685.534897
0,84,706.393436
0,85,745.154907
0,86,803.651188
0,87,853.073709
0,88,911.538606
0,89,961.389937
0,90,685.841692
0,91,704.497039
0,92,722.099894
0,93,747.582556
0,94,804.454447
0,95,825.757241
0,96,866.161077
0,97,906.357241
0,98,962.683546
0,99,1015.925795
1,2,104.851643
1,3,177.023204
1,4,234.826734
1,5,314.483225
1,6,388.792424
1,7,477.899017
1,8,565.542714
1,9,605.846406
1,10,84.785507
1,11,53.812533
1,12,140.871965
1,13,182.657894
1,14,248.666749
1,15,353.334162
1,16,391.822546
1,17,477.819699
1,18,533.071142
1,19,631.234503
1,20,145.514315
1,21,154.553931
1,22,198.504570
1,23,220.419772
1,24,300.577185
1,25,381.195773
1,26,445.785571
1,27,515.417214
1,28,585.726292
1,29,650.785556
1,30,214.348449
1,31,240.606869
1,32,259.713672
1,33,289.727462
1,34,361.457156
1,35,396.790187
